City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
525,san cristobal,7.7669,-72.225,23.1,94,60,1.09,VE,1673213488
526,bua yai,15.5855,102.4259,21.72,61,97,3.22,TH,1673213488
527,poso,-1.3959,120.7524,27.41,80,100,0.7,ID,1673213489
528,kimbe,-5.5502,150.1429,26.79,86,100,0.56,PG,1673213489
529,bihoro,43.8228,144.1044,-6.17,89,100,2.81,JP,1673213489
530,aquiraz,-3.9014,-38.3911,28.05,77,100,4.93,BR,1673213490
531,plettenberg bay,-34.0527,23.3716,20.44,73,0,1.49,ZA,1673213454
532,sibolga,1.7427,98.7792,23.42,77,100,1.48,ID,1673213490
533,rawson,-43.3002,-65.1023,32.16,37,20,6.69,AR,1673213490
534,coahuayana,18.7333,-103.6833,29.35,55,0,3.23,MX,1673213490
535,saint anthony,45.0205,-93.218,-2.82,75,0,5.14,US,1673213490
536,panaba,21.2833,-88.2667,27.38,61,73,5.31,MX,1673213491
537,xambioa,-6.4111,-48.5364,23.69,93,51,0.75,BR,1673213491
538,bac lieu,9.285,105.7244,22.88,87,98,3.3,VN,1673213491
539,kamenka,51.3223,42.7678,-16.06,96,58,2.12,RU,1673213491
540,shelopugino,51.6514,117.5599,-25.05,94,8,2.07,RU,1673213491
541,butte,39.6499,-121.5677,13.34,78,0,7.72,US,1673213491
542,nara,34.6851,135.8049,3.51,78,0,1.68,JP,1673213492
543,changji,44.0167,87.3167,-9.56,92,56,1.0,CN,1673213492
544,huancavelica,-12.7667,-74.9833,7.73,72,96,3.56,PE,1673213492
545,valparaiso,-33.0393,-71.6273,25.13,81,0,6.69,CL,1673213403
546,bathsheba,13.2167,-59.5167,26.34,83,20,6.69,BB,1673213492
547,kavieng,-2.5744,150.7967,28.12,76,96,4.48,PG,1673213492
548,sehithwa,-20.4667,22.7167,23.5,57,77,4.9,BW,1673213492
549,zhucheng,35.9947,119.3975,0.72,93,16,3.43,CN,1673213493
550,nanortalik,60.1432,-45.2371,-3.01,76,100,5.06,GL,1673213493
551,rasulabad,26.75,80.4833,4.97,38,0,1.85,IN,1673213493
